symbol,cik,accession,okres,data_zlozenia,akceptacja_et,klasa,sesja_reakcji,znacznik_json,json_zgodny
TSLA,1318605,0000950170-21-000423,2021-07-02,2021-07-02,2021-07-02 08:32:50,BMO,2021-07-02,2021-07-02T12:32:50.000Z,tak
TSLA,1318605,0001564590-21-037953,2021-07-26,2021-07-26,2021-07-26 16:25:13,AMC,2021-07-27,2021-07-26T20:25:13.000Z,tak
AAPL,320193,0000320193-21-000063,2021-07-27,2021-07-27,2021-07-27 16:35:44,AMC,2021-07-28,2021-07-27T20:35:44.000Z,tak
GOOGL,1652044,0001652044-21-000041,2021-07-27,2021-07-27,2021-07-27 16:36:42,AMC,2021-07-28,2021-07-27T20:36:42.000Z,tak
MSFT,789019,0001193125-21-225746,2021-07-27,2021-07-27,2021-07-27 16:41:19,AMC,2021-07-28,2021-07-27T16:41:19.000Z,NIE
META,1326801,0001326801-21-000047,2021-07-28,2021-07-28,2021-07-28 16:08:06,AMC,2021-07-29,2021-07-28T20:08:06.000Z,tak
AMZN,1018724,0001018724-21-000018,2021-07-29,2021-07-29,2021-07-29 16:34:52,AMC,2021-07-30,2021-07-29T20:34:52.000Z,tak
NVDA,1045810,0001045810-21-000128,2021-08-18,2021-08-18,2021-08-18 16:21:07,AMC,2021-08-19,2021-08-18T20:21:07.000Z,tak
AVGO,1730168,0001730168-21-000121,2021-09-02,2021-09-02,2021-09-02 16:18:04,AMC,2021-09-03,2021-09-02T20:18:04.000Z,tak
TSLA,1318605,0001564590-21-049874,2021-10-02,2021-10-04,2021-10-04 06:09:14,BMO,2021-10-04,2021-10-04T10:09:14.000Z,tak
TSLA,1318605,0001564590-21-051307,2021-10-20,2021-10-20,2021-10-20 17:14:23,AMC,2021-10-21,2021-10-20T21:14:23.000Z,tak
META,1326801,0001326801-21-000062,2021-10-25,2021-10-25,2021-10-25 16:08:12,AMC,2021-10-26,2021-10-25T20:08:12.000Z,tak
GOOGL,1652044,0001652044-21-000054,2021-10-26,2021-10-26,2021-10-26 16:01:30,AMC,2021-10-27,2021-10-26T20:01:30.000Z,tak
MSFT,789019,0001193125-21-307941,2021-10-26,2021-10-26,2021-10-26 16:04:14,AMC,2021-10-27,2021-10-26T16:04:14.000Z,NIE
AMZN,1018724,0001018724-21-000026,2021-10-28,2021-10-28,2021-10-28 16:07:09,AMC,2021-10-29,2021-10-28T20:07:09.000Z,tak
AAPL,320193,0000320193-21-000104,2021-10-28,2021-10-28,2021-10-28 16:30:23,AMC,2021-10-29,2021-10-28T20:30:23.000Z,tak
NVDA,1045810,0001045810-21-000160,2021-11-17,2021-11-17,2021-11-17 16:20:59,AMC,2021-11-18,2021-11-17T21:20:59.000Z,tak
AVGO,1730168,0001730168-21-000148,2021-12-09,2021-12-09,2021-12-09 16:26:54,AMC,2021-12-10,2021-12-09T21:26:54.000Z,tak
TSLA,1318605,0001564590-22-000009,2022-01-02,2022-01-03,2022-01-03 06:06:42,BMO,2022-01-03,2022-01-03T11:06:42.000Z,tak
MSFT,789019,0001193125-22-017041,2022-01-25,2022-01-25,2022-01-25 16:03:05,AMC,2022-01-26,2022-01-25T16:03:05.000Z,NIE
TSLA,1318605,0001564590-22-002476,2022-01-26,2022-01-26,2022-01-26 16:26:43,AMC,2022-01-27,2022-01-26T21:26:43.000Z,tak
AAPL,320193,0000320193-22-000006,2022-01-27,2022-01-27,2022-01-27 16:30:36,AMC,2022-01-28,2022-01-27T21:30:36.000Z,tak
GOOGL,1652044,0001652044-22-000015,2022-02-01,2022-02-01,2022-02-01 16:01:29,AMC,2022-02-02,2022-02-01T21:01:29.000Z,tak
META,1326801,0001326801-22-000015,2022-02-02,2022-02-02,2022-02-02 16:08:34,AMC,2022-02-03,2022-02-02T21:08:34.000Z,tak
AMZN,1018724,0001018724-22-000002,2022-02-03,2022-02-03,2022-02-03 16:11:33,AMC,2022-02-04,2022-02-03T21:11:33.000Z,tak
